from_stop,to_stop,from_stop_normalized,to_stop_normalized,case_frequency,avg_duration_seconds,min_duration_seconds,max_duration_seconds,routes,avg_duration_label
A.K Bari Road,G-11 Markaz,a k bari road,g 11 markaz,19,160.0,160,160,FR-10,2 min 40 sec
A.K Bari Road,Police Foundation Metro Station,a k bari road,police foundation metro station,97,190.0,190,190,FR-07,3 min 10 sec
Abpara,Foreign Affairs Office,abpara,foreign affairs office,405,160.0,160,160,"FR-08A, FRG-1",2 min 40 sec
Abpara,Shakarparian Park,abpara,shakarparian park,9,370.0,370,370,ST-02,6 min 10 sec
Abpara Market,Youth Hostel,abpara market,youth hostel,97,120.0,120,120,FR-04,2 min 0 sec
Afridi Bagh,Hattar,afridi bagh,hattar,13,75.0,75,75,FR-13,1 min 15 sec
Ahmad Nagar,Shah Wali Colony Road,ahmad nagar,shah wali colony road,12,50.0,50,50,FR-12,0 min 50 sec
Airport Enclave,Madni Chowk,airport enclave,madni chowk,13,230.0,230,230,FR-13,3 min 50 sec
Aiwan e Sadar Colony,Muslim Colony,aiwan e sadar colony,muslim colony,97,80.0,80,80,FR-04,1 min 20 sec
Akbar Niazi Hospital,Phulgran,akbar niazi hospital,phulgran,65,40.0,40,40,FR-14A,0 min 40 sec
Akram City,Civil CT Road,akram city,civil ct road,13,90.0,90,90,FR-13,1 min 30 sec
Al Wadi Colony,Satra Meel,al wadi colony,satra meel,65,80.0,80,80,FR-14A,1 min 20 sec
Askari Cement Factory Road,Dhok Dhollian,askari cement factory road,dhok dhollian,12,80.0,80,80,FR-12,1 min 20 sec
Athal Chowk,Barakahu Bazar,athal chowk,barakahu bazar,65,160.0,160,160,FR-14A,2 min 40 sec
B-17 Gate no. 1,B-17 Gate no. 2,b 17 gate no 1,b 17 gate no 2,19,120.0,120,120,FR-10,2 min 0 sec
B-17 Gate no. 2,Margalla,b 17 gate no 2,margalla,19,140.0,140,140,FR-10,2 min 20 sec
Babul Quaid,Quaid Azam University,babul quaid,quaid azam university,33,160.0,160,160,FR-04A,2 min 40 sec
Bahria University,Naval Complex,bahria university,naval complex,106,105.0,105,105,"FR-03A, ST-01",1 min 45 sec
Bahtar Morh,Wah Model Town Phase 01,bahtar morh,wah model town phase 01,12,50.0,50,50,FR-12,0 min 50 sec
Bangu Chowk,Afridi Bagh,bangu chowk,afridi bagh,13,95.0,95,95,FR-13,1 min 35 sec
Bank Colony,Salai Centre,bank colony,salai centre,97,90.0,90,90,FR-04,1 min 30 sec
Bar Council,A.K Bari Road,bar council,a k bari road,97,50.0,50,50,FR-07,0 min 50 sec
Barakahu,Shahdara,barakahu,shahdara,65,130.0,130,130,FR-14,2 min 10 sec
Barakahu Bazar,Bhera Pull,barakahu bazar,bhera pull,65,130.0,130,130,FR-14A,2 min 10 sec
Barakahu Terminal,Mangu Town,barakahu terminal,mangu town,65,50.0,50,50,FR-14A,0 min 50 sec
Bari Imam,Muhallah Noori Bagh,bari imam,muhallah noori bagh,33,100.0,100,100,FR-04A,1 min 40 sec
Basti,Sabri Gali,basti,sabri gali,12,90.0,90,90,FR-12,1 min 30 sec
Bhera Pull,Nai Abadi,bhera pull,nai abadi,65,130.0,130,130,FR-14A,2 min 10 sec
British Homes,Pir Wadhai Morh,british homes,pir wadhai morh,65,76.0,76,76,FR-09,1 min 16 sec
C-Type Quaid-e-Azam Colony,Babul Quaid,c type quaid e azam colony,babul quaid,33,90.0,90,90,FR-04A,1 min 30 sec
CDA,Abpara,cda,abpara,414,138.3816425120773,80,150,"FR-08A, FRG-1, ST-02",2 min 18 sec
CDA Complain Center,MCI Model School,cda complain center,mci model school,17,305.0,305,305,FR-01,5 min 5 sec
CDA Stop,Pully Stop,cda stop,pully stop,130,105.0,105,105,"FR-09, FR-14",1 min 45 sec
COMSATS University,Tamma Stop,comsats university,tamma stop,266,58.27067669172932,5,70,"FR-08A, FR-08C, ST-02",0 min 58 sec
CTTI,Social Security Hospital,ctti,social security hospital,65,98.0,98,98,FR-09,1 min 38 sec
Carriage Factory,Westridge,carriage factory,westridge,65,90.0,90,90,FR-09,1 min 30 sec
Chaman Metro Station,G-9/4,chaman metro station,g 9 4,97,96.0,96,96,FR-07,1 min 36 sec
Chaman Metro Station,Taqwa Market,chaman metro station,taqwa market,17,80.0,80,80,FR-06,1 min 20 sec
Chatta Bakhtawar,Gulshan Al Huda Community,chatta bakhtawar,gulshan al huda community,257,83.73540856031128,80,100,"FR-08A, FR-08C",1 min 24 sec
Chatta Bakhtawar,Hostel City,chatta bakhtawar,hostel city,9,130.0,130,130,ST-02,2 min 10 sec
Children Hospital,NORI Hospital,children hospital,nori hospital,97,159.0,159,159,FR-07,2 min 39 sec
Children Hospital,Rescue 15,children hospital,rescue 15,97,108.0,108,108,FR-04,1 min 48 sec
Children Hospital,TNT,children hospital,tnt,649,204.6224961479199,170,240,"FR-08A, FR-08C, FRB-01, FRG-1",3 min 25 sec
Chishtiabad,Golra Morh,chishtiabad,golra morh,65,125.0,125,125,FR-09,2 min 5 sec
Civil CT Road,Fateh Jang,civil ct road,fateh jang,13,130.0,130,130,FR-13,2 min 10 sec
Col. Ammanullah Road,Athal Chowk,col ammanullah road,athal chowk,65,110.0,110,110,FR-14A,1 min 50 sec
College Morh,G-10 Markaz,college morh,g 10 markaz,97,150.0,150,150,FR-07,2 min 30 sec
Commmunity Health Center,D-Type Quaid e Azam Colony,commmunity health center,d type quaid e azam colony,33,95.0,95,95,FR-04A,1 min 35 sec
D-12 Markaz,D-12,d 12 markaz,d 12,193,50.0,50,50,FR-05,0 min 50 sec
D-12 Markaz,Shah Allah Ditta,d 12 markaz,shah allah ditta,19,235.0,235,235,FR-10,3 min 55 sec
D-12 Service Road,IESCO D-12,d 12 service road,iesco d 12,212,115.0,115,115,"FR-05, FR-10",1 min 55 sec
D-Type Quaid e Azam Colony,C-Type Quaid-e-Azam Colony,d type quaid e azam colony,c type quaid e azam colony,33,75.0,75,75,FR-04A,1 min 15 sec
DHA Gate 07,SUPARCO,dha gate 07,suparco,33,105.0,105,105,FR-15,1 min 45 sec
DHA Gate 08,DHA Gate 07,dha gate 08,dha gate 07,33,90.0,90,90,FR-15,1 min 30 sec
Dental Hospital,G-8 Markaz,dental hospital,g 8 markaz,97,10.0,10,10,FR-07,0 min 10 sec
Development Park,Chaman Metro Station,development park,chaman metro station,97,109.0,109,109,FR-07,1 min 49 sec
Dhok Badam,Punjab College,dhok badam,punjab college,65,40.0,40,40,FR-14A,0 min 40 sec
Dhok Dhollian,WAPDA Colony,dhok dhollian,wapda colony,12,80.0,80,80,FR-12,1 min 20 sec
Dhok Kala Khan,Iqbal Town,dhok kala khan,iqbal town,196,60.0,60,60,FRB-01,1 min 0 sec
Dhok Kala Khan,Sohan,dhok kala khan,sohan,65,170.0,170,170,FR-09,2 min 50 sec
Dhok Miskeen,Mangial Link Road 1,dhok miskeen,mangial link road 1,13,195.0,195,195,FR-13,3 min 15 sec
Dhokri Stop,Kashmir Chowk,dhokri stop,kashmir chowk,65,71.0,71,71,FR-14,1 min 11 sec
Dhuma,PECHS,dhuma,pechs,13,160.0,160,160,FR-13,2 min 40 sec
Diplomatic Enclave Gate 4,Aiwan e Sadar Colony,diplomatic enclave gate 4,aiwan e sadar colony,97,102.0,102,102,FR-04,1 min 42 sec
Doiyan,Qutbal,doiyan,qutbal,13,150.0,150,150,FR-13,2 min 30 sec
E-11/2 / FECHS / Islamabad International Hospita,D-12 Service Road,e 11 2 fechs islamabad international hospita,d 12 service road,193,100.0,100,100,FR-05,1 min 40 sec
F-10 Markaz,IMCB F10/4,f 10 markaz,imcb f10 4,17,115.0,115,115,FR-06,1 min 55 sec
F-10/F-11 Chowk,Major Road,f 10 f 11 chowk,major road,17,80.0,80,80,FR-06,1 min 20 sec
F-11 Markaz,OPF Girls College,f 11 markaz,opf girls college,36,111.11111111111111,90,130,"FR-06, FR-10",1 min 51 sec
F-7 Markaz,Flower Market,f 7 markaz,flower market,97,73.0,73,73,FR-03A,1 min 13 sec
F-8 Markaz,F-9 Park,f 8 markaz,f 9 park,106,120.0,120,120,"FR-03A, ST-01",2 min 0 sec
F-9 Park,Shaheen Chowk,f 9 park,shaheen chowk,123,80.85365853658537,55,85,"FR-03A, FR-06, ST-01",1 min 21 sec
FAST University,PAEC General Hospital,fast university,paec general hospital,17,140.0,140,140,FR-01,2 min 20 sec
Faisal Masjid,Parveen Shakir Road,faisal masjid,parveen shakir road,106,160.0,160,160,"FR-03A, ST-01",2 min 40 sec
Faisal Morh F-7/F-8,Katchery,faisal morh f 7 f 8,katchery,9,160.0,160,160,ST-01,2 min 40 sec
Faizabad,ITP Driving License Centre,faizabad,itp driving license centre,48,150.0,150,150,FR-08C,2 min 30 sec
Faizabad Metro Station,IJP Metro Station,faizabad metro station,ijp metro station,130,240.0,240,240,"FR-09, FR-14",4 min 0 sec
Fauji Colony,Carriage Factory,fauji colony,carriage factory,65,80.0,80,80,FR-09,1 min 20 sec
Fazaia,Gangal,fazaia,gangal,229,126.39737991266375,105,130,"FR-15, FRB-01",2 min 6 sec
Fazaia Housing Scheme,PAF Hospital,fazaia housing scheme,paf hospital,17,110.0,110,110,FR-06,1 min 50 sec
Federal Government College,F-11 Markaz,federal government college,f 11 markaz,19,170.0,170,170,FR-10,2 min 50 sec
Foreign Affairs Office,Kashmir Chowk,foreign affairs office,kashmir chowk,209,100.0,100,100,FR-08A,1 min 40 sec
Foreign Affairs Office,Lake View Park,foreign affairs office,lake view park,196,300.0,300,300,FRG-1,5 min 0 sec
