stop_name_normalized,stop_name,latitude,longitude,coordinate_quality,coordinate_note
chishtiabad,Chishtiabad,33.621,73.0645,verified,Seed coordinate for key Islamabad stop.
civil ct road,Civil CT Road,33.6085,73.0555,verified,Seed coordinate for key Islamabad stop.
col ammanullah road,Col. Ammanullah Road,33.6645,73.0725,verified,Seed coordinate for key Islamabad stop.
college morh,College Morh,33.6812,73.0125,verified,Seed coordinate for key Islamabad stop.
commmunity health center,Commmunity Health Center,33.682,73.0515,verified,Seed coordinate for key Islamabad stop.
d 12,D-12,33.7145,72.9525,verified,Seed coordinate for key Islamabad stop.
d 12 markaz,D-12 Markaz,33.7145,72.9525,verified,Seed coordinate for key Islamabad stop.
d 12 service road,D-12 Service Road,33.7105,72.959,verified,Seed coordinate for key Islamabad stop.
d type quaid e azam colony,D-Type Quaid e Azam Colony,33.6415,73.0845,verified,Seed coordinate for key Islamabad stop.
dha gate 07,DHA Gate 07,33.535,73.161,verified,Seed coordinate for key Islamabad stop.
dha gate 08,DHA Gate 08,33.5298,73.1645,verified,Seed coordinate for key Islamabad stop.
daman e koh,Daman e Koh,33.738,73.056,verified,Seed coordinate for key Islamabad stop.
dental hospital,Dental Hospital,33.7165,73.0835,verified,Seed coordinate for key Islamabad stop.
development park,Development Park,33.7055,73.0725,verified,Seed coordinate for key Islamabad stop.
dhok badam,Dhok Badam,33.6555,73.0445,verified,Seed coordinate for key Islamabad stop.
dhok dhollian,Dhok Dhollian,33.6485,73.0615,verified,Seed coordinate for key Islamabad stop.
dhok kala khan,Dhok Kala Khan,33.6533,73.0906,verified,Seed coordinate for key Islamabad stop.
dhok miskeen,Dhok Miskeen,33.7385,73.1845,verified,Seed coordinate for key Islamabad stop.
dhokri stop,Dhokri Stop,33.7155,73.099,verified,Seed coordinate for key Islamabad stop.
dhuma,Dhuma,33.7715,73.2285,verified,Seed coordinate for key Islamabad stop.
diplomatic enclave gate 4,Diplomatic Enclave Gate 4,33.719,73.111,verified,Seed coordinate for key Islamabad stop.
doiyan,Doiyan,33.7655,73.1945,verified,Seed coordinate for key Islamabad stop.
e 11 2 fechs islamabad international hospita,E-11/2 / FECHS / Islamabad International Hospita,33.6965,72.9755,verified,Seed coordinate for key Islamabad stop.
f 10 markaz,F-10 Markaz,33.6931,72.9865,manual,Seed coordinate for key Islamabad stop.
f 10 f 11 chowk,F-10/F-11 Chowk,33.6945,72.9985,verified,Seed coordinate for key Islamabad stop.
f 11 markaz,F-11 Markaz,33.6845,72.9875,verified,Seed coordinate for key Islamabad stop.
f 7 markaz,F-7 Markaz,33.7125,73.039,verified,Seed coordinate for key Islamabad stop.
f 8 markaz,F-8 Markaz,33.7125,73.039,verified,Seed coordinate for key Islamabad stop.
f 9 park,F-9 Park,33.702,73.0169,verified,Seed coordinate for key Islamabad stop.
fast university,FAST University,33.6425,73.0232,verified,Seed coordinate for key Islamabad stop.
faisal masjid,Faisal Masjid,33.7299,73.0372,verified,Seed coordinate for key Islamabad stop.
faisal morh f 7 f 8,Faisal Morh F-7/F-8,33.7145,73.0485,verified,Seed coordinate for key Islamabad stop.
faizabad,Faizabad,33.6642,73.0833,manual,Seed coordinate for key Islamabad stop.
faizabad metro station,Faizabad Metro Station,33.6636,73.0841,verified,Seed coordinate for key Islamabad stop.
fateh jang,Fateh Jang,33.5665,72.642,verified,Seed coordinate for key Islamabad stop.
fauji colony,Fauji Colony,33.6345,73.0325,verified,Seed coordinate for key Islamabad stop.
fazaia,Fazaia,33.6288,73.1315,verified,Seed coordinate for key Islamabad stop.
fazaia housing scheme,Fazaia Housing Scheme,33.6288,73.1315,verified,Seed coordinate for key Islamabad stop.
federal government college,Federal Government College,33.7015,73.0685,verified,Seed coordinate for key Islamabad stop.
flower market,Flower Market,33.7085,73.0385,verified,Seed coordinate for key Islamabad stop.
foreign affairs office,Foreign Affairs Office,33.7295,73.0935,verified,Seed coordinate for key Islamabad stop.
g 10 markaz,G-10 Markaz,33.6775,73.011,verified,Seed coordinate for key Islamabad stop.
g 10 metro station,G-10 Metro Station,33.673,73.0335,verified,Seed coordinate for key Islamabad stop.
g 10 g 11,G-10/G-11,33.671,73.0035,verified,Seed coordinate for key Islamabad stop.
g 11 markaz,G-11 Markaz,33.6685,72.9982,verified,Seed coordinate for key Islamabad stop.
g 13 metro station,G-13 Metro Station,33.6555,72.9715,verified,Seed coordinate for key Islamabad stop.
g 15 h 15,G-15/H-15,33.6335,72.9245,verified,Seed coordinate for key Islamabad stop.
g 16 1,G-16/1,33.6265,72.9035,verified,Seed coordinate for key Islamabad stop.
g 16 h 16,G-16/H-16,33.6215,72.9115,verified,Seed coordinate for key Islamabad stop.
g 6 1 2,G-6/1.2,33.7195,73.0815,verified,Seed coordinate for key Islamabad stop.
g 8 markaz,G-8 Markaz,33.699,73.0475,verified,Seed coordinate for key Islamabad stop.
g 9 markaz,G-9 Markaz,33.6903,73.0287,verified,Seed coordinate for key Islamabad stop.
g 9 1 and g 9 4,G-9/1 and G-9/4,33.6855,73.0215,verified,Seed coordinate for key Islamabad stop.
g 9 3,G-9/3,33.6853,73.0338,verified,Seed coordinate for key Islamabad stop.
g 9 4,G-9/4,33.6825,73.0265,verified,Seed coordinate for key Islamabad stop.
g 9 4 park,G-9/4 Park,33.6825,73.0265,verified,Seed coordinate for key Islamabad stop.
g10 g11,G10/G11,33.671,73.0035,verified,Seed coordinate for key Islamabad stop.
gangal,Gangal,33.6215,73.1368,verified,Seed coordinate for key Islamabad stop.
garden avenue,Garden Avenue,33.6915,73.0665,verified,Seed coordinate for key Islamabad stop.
garhi hasu khan,Garhi Hasu Khan,33.7545,73.1215,verified,Seed coordinate for key Islamabad stop.
golra morh,Golra Morh,33.6475,73.0115,verified,Seed coordinate for key Islamabad stop.
golra morh metro station,Golra Morh Metro Station,33.6475,73.0115,verified,Seed coordinate for key Islamabad stop.
golra sharif f 11 3,Golra Sharif F-11/3,33.693,72.99,verified,Seed coordinate for key Islamabad stop.
golra sharif,Golra sharif,33.6912,72.9734,verified,Seed coordinate for key Islamabad stop.
graceland housing society,Graceland Housing Society,33.601,72.795,verified,Seed coordinate for key Islamabad stop.
green avenue,Green Avenue,33.672,73.151,verified,Seed coordinate for key Islamabad stop.
gulberg,Gulberg,33.5936,73.1652,verified,Seed coordinate for key Islamabad stop.
gulshan al huda community,Gulshan Al Huda Community,33.664,73.153,verified,Seed coordinate for key Islamabad stop.
gulshan e anwar,Gulshan e Anwar,33.752,72.776,verified,Seed coordinate for key Islamabad stop.
h 8,H-8,33.668,73.058,verified,Seed coordinate for key Islamabad stop.
hammad uddin road,Hammad Uddin Road,33.624,73.089,verified,Seed coordinate for key Islamabad stop.
hassan abdal,Hassan Abdal,33.82,72.689,verified,Seed coordinate for key Islamabad stop.
hattar,Hattar,33.865,72.855,verified,Seed coordinate for key Islamabad stop.
home of military transport,Home of Military Transport,33.634,72.972,verified,Seed coordinate for key Islamabad stop.
hostel city,Hostel City,33.665,73.164,verified,Seed coordinate for key Islamabad stop.
i 14 markaz,I-14 Markaz,33.614,72.972,verified,Seed coordinate for key Islamabad stop.
i 14 1 park,I-14/1 Park,33.612,72.968,verified,Seed coordinate for key Islamabad stop.
icb college,ICB College,33.712,73.064,verified,Seed coordinate for key Islamabad stop.
iesco,IESCO,33.6932,73.0648,verified,Seed coordinate for key Islamabad stop.
iesco d 12,IESCO D-12,33.698,72.946,verified,Seed coordinate for key Islamabad stop.
ijp metro station,IJP Metro Station,33.6548,73.0734,verified,Seed coordinate for key Islamabad stop.
imc hospital,IMC Hospital,33.6669,72.9961,verified,Seed coordinate for key Islamabad stop.
imcb f10 4,IMCB F10/4,33.696,73.008,verified,Seed coordinate for key Islamabad stop.
imcg f 10 2,IMCG F-10/2,33.702,73.004,verified,Seed coordinate for key Islamabad stop.
imcg i 14 3,IMCG I-14/3,33.608,72.965,verified,Seed coordinate for key Islamabad stop.
itp driving license centre,ITP Driving License Centre,33.684,73.018,verified,Seed coordinate for key Islamabad stop.
ibn e sina metro station,Ibn-e-Sina Metro Station,33.678,73.038,verified,Seed coordinate for key Islamabad stop.
institute of modern studies,Institute of Modern Studies,33.6738,72.9985,verified,Seed coordinate for key Islamabad stop.
iqbal hall,Iqbal Hall,33.658,73.024,verified,Seed coordinate for key Islamabad stop.
iqbal town,Iqbal Town,33.6455,73.1022,verified,Seed coordinate for key Islamabad stop.
islamabad international hospital,Islamabad International Hospital,33.625,73.056,verified,Seed coordinate for key Islamabad stop.
islamic university,Islamic University,33.6593,73.0242,verified,Seed coordinate for key Islamabad stop.
jinnah colony,Jinnah Colony,33.622,73.094,verified,Seed coordinate for key Islamabad stop.
kaak pul,Kaak Pul,33.5434,73.1795,verified,Seed coordinate for key Islamabad stop.
kach naar park i 8,Kach Naar Park I-8,33.672,73.078,verified,Seed coordinate for key Islamabad stop.
karachi company,Karachi Company,33.6905,73.0285,verified,Seed coordinate for key Islamabad stop.
kashmir chowk,Kashmir Chowk,33.708,73.088,verified,Seed coordinate for key Islamabad stop.
katarian chungi,Katarian Chungi,33.6461,73.0531,verified,Seed coordinate for key Islamabad stop.
katarian pull,Katarian Pull,33.6453,73.0538,verified,Seed coordinate for key Islamabad stop.
katchery,Katchery,33.704,73.042,verified,Seed coordinate for key Islamabad stop.
khanna pul,Khanna Pul,33.6375,73.1235,verified,Seed coordinate for key Islamabad stop.
khayaban e iqbal,Khayaban e Iqbal,33.725,73.005,verified,Seed coordinate for key Islamabad stop.
kohinoor mill,Kohinoor Mill,33.628,73.015,verified,Seed coordinate for key Islamabad stop.
kohinoor mill colony,Kohinoor Mill Colony,33.6295,73.0165,verified,Seed coordinate for key Islamabad stop.
kohsar road,Kohsar Road,33.718,73.056,verified,Seed coordinate for key Islamabad stop.
kohsar road f 7 marka,Kohsar Road/F-7 Marka,33.7255,73.0615,verified,Seed coordinate for key Islamabad stop.
koral town,Koral Town,33.6062,73.1492,verified,Seed coordinate for key Islamabad stop.
kurang road stop,Kurang Road Stop,33.642,73.134,verified,Seed coordinate for key Islamabad stop.
kuri road,Kuri Road,33.6448,73.1145,verified,Seed coordinate for key Islamabad stop.
lake view park,Lake View Park,33.714,73.121,verified,Seed coordinate for key Islamabad stop.
lodges park,Lodges Park,33.722,73.085,verified,Seed coordinate for key Islamabad stop.
losar sharfoo,Losar Sharfoo,33.7515,72.7835,verified,Seed coordinate for key Islamabad stop.
mci model school,MCI Model School,33.7045,73.0815,verified,Seed coordinate for key Islamabad stop.
madni chowk,Madni Chowk,33.641,73.053,verified,Seed coordinate for key Islamabad stop.
major road,Major Road,33.6555,73.0765,verified,Seed coordinate for key Islamabad stop.
malakand stop,Malakand Stop,33.7842,72.7215,verified,Seed coordinate for key Islamabad stop.
malpur,Malpur,33.7277,73.1497,verified,Seed coordinate for key Islamabad stop.
mandi morh,Mandi Morh,33.6517,73.0392,verified,Seed coordinate for key Islamabad stop.
mangial link road 1,Mangial Link Road 1,33.6012,72.7935,verified,Seed coordinate for key Islamabad stop.
mangial link road 2,Mangial Link Road 2,33.6045,72.788,verified,Seed coordinate for key Islamabad stop.
mangial main stop,Mangial Main Stop,33.6005,72.782,verified,Seed coordinate for key Islamabad stop.
mangu town,Mangu Town,33.741,73.175,verified,Seed coordinate for key Islamabad stop.
margalla,Margalla,33.7435,73.023,verified,Seed coordinate for key Islamabad stop.
margalla town,Margalla Town,33.6738,73.1165,verified,Seed coordinate for key Islamabad stop.
maroof international hospital,Maroof International Hospital,33.696,73.018,verified,Seed coordinate for key Islamabad stop.
masjid abu al qasim,Masjid Abu Al Qasim,33.605,72.902,verified,Seed coordinate for key Islamabad stop.
mehrabad,Mehrabad,33.674,72.9915,verified,Seed coordinate for key Islamabad stop.
melody market,Melody Market,33.7088,73.0782,verified,Seed coordinate for key Islamabad stop.
metro cnc,Metro CNC,33.6644,73.052,verified,Seed coordinate for key Islamabad stop.
metropolitan corporation,Metropolitan Corporation,33.721,73.0945,verified,Seed coordinate for key Islamabad stop.
ministry of foreign affairs,Ministry of Foreign Affairs,33.7295,73.0935,verified,Seed coordinate for key Islamabad stop.
mohri patak,Mohri Patak,33.621,73.0845,verified,Seed coordinate for key Islamabad stop.
motorway chowk,Motorway Chowk,33.6412,72.934,verified,Seed coordinate for key Islamabad stop.
muhallah noori bagh,Muhallah Noori Bagh,33.748,73.2015,verified,Seed coordinate for key Islamabad stop.
multy stop,Multy Stop,33.633,72.9465,verified,Seed coordinate for key Islamabad stop.
multy stop islamabad gardens,Multy Stop/Islamabad Gardens,33.633,72.9465,verified,Seed coordinate for key Islamabad stop.
mumtaz city,Mumtaz City,33.5855,72.8425,verified,Seed coordinate for key Islamabad stop.
murghzar zoo,Murghzar Zoo,33.738,73.079,verified,Seed coordinate for key Islamabad stop.
muslim colony,Muslim Colony,33.7435,73.1045,verified,Seed coordinate for key Islamabad stop.
n 5 metro station,N-5 Metro Station,33.6265,72.9155,verified,Seed coordinate for key Islamabad stop.
n a r c colony,N.A.R.C Colony,33.6765,73.1255,verified,Seed coordinate for key Islamabad stop.
n i h allergy center,N.I.H Allergy Center,33.678,73.1415,verified,Seed coordinate for key Islamabad stop.
n5 metro station,N5 Metro Station,33.6265,72.9155,verified,Seed coordinate for key Islamabad stop.
nadra chowk,NADRA Chowk,33.7265,73.0985,verified,Seed coordinate for key Islamabad stop.
narc colony,NARC Colony,33.6765,73.1255,verified,Seed coordinate for key Islamabad stop.
nih allergy center,NIH Allergy Center,33.678,73.1415,verified,Seed coordinate for key Islamabad stop.
nori hospital,NORI Hospital,33.693,73.0615,verified,Seed coordinate for key Islamabad stop.
npa stop,NPA Stop,33.6441,73.0012,verified,Seed coordinate for key Islamabad stop.
npf housing society,NPF Housing Society,33.5685,73.1515,verified,Seed coordinate for key Islamabad stop.
nust eme college,NUST EME College,33.611,72.9245,verified,Seed coordinate for key Islamabad stop.
nust metro station,NUST Metro Station,33.644,72.991,verified,Seed coordinate for key Islamabad stop.
nai abadi,Nai Abadi,33.6365,73.0895,verified,Seed coordinate for key Islamabad stop.
national library,National Library,33.7315,73.1015,verified,Seed coordinate for key Islamabad stop.
naval complex,Naval Complex,33.715,73.041,verified,Seed coordinate for key Islamabad stop.
nawab abad,Nawab Abad,33.7555,72.7845,verified,Seed coordinate for key Islamabad stop.
new city phase 01,New City Phase 01,33.7485,72.7635,verified,Seed coordinate for key Islamabad stop.
new city phase 02,New City Phase 02,33.738,72.7485,verified,Seed coordinate for key Islamabad stop.
ogti stop,OGTI Stop,33.6455,73.0285,verified,Seed coordinate for key Islamabad stop.
opf girls college,OPF Girls College,33.716,73.0325,verified,Seed coordinate for key Islamabad stop.
paec general hospital,PAEC General Hospital,33.6305,73.0633,verified,Seed coordinate for key Islamabad stop.
paf hospital,PAF Hospital,33.7125,73.0145,verified,Seed coordinate for key Islamabad stop.
pechs,PECHS,33.6065,72.8435,verified,Seed coordinate for key Islamabad stop.
pha flats,PHA Flats,33.6612,72.9912,verified,Seed coordinate for key Islamabad stop.
pims,PIMS,33.705,73.048,verified,Seed coordinate for key Islamabad stop.
pims hospital,PIMS Hospital,33.705,73.048,verified,Seed coordinate for key Islamabad stop.
pims metro station,PIMS Metro Station,33.705,73.048,verified,Seed coordinate for key Islamabad stop.
ptcl f 11,PTCL F-11,33.684,72.9825,verified,Seed coordinate for key Islamabad stop.
ptcl i 10,PTCL I-10,33.6445,73.0415,verified,Seed coordinate for key Islamabad stop.
pwd housing society,PWD Housing Society,33.5786,73.1361,verified,Seed coordinate for key Islamabad stop.
pagh chowk,Pagh Chowk,33.5855,73.142,verified,Seed coordinate for key Islamabad stop.
pakistan gate,Pakistan gate,33.4995,73.2435,verified,Seed coordinate for key Islamabad stop.
park view city,Park View City,33.702,73.1915,verified,Seed coordinate for key Islamabad stop.
parveen shakir road,Parveen Shakir Road,33.6845,73.0385,verified,Seed coordinate for key Islamabad stop.
phulgran,Phulgran,33.7545,73.2285,verified,Seed coordinate for key Islamabad stop.
pindora chungi,Pindora Chungi,33.6465,73.0594,verified,Seed coordinate for key Islamabad stop.
pir wadhai morh,Pir Wadhai Morh,33.645,73.0255,verified,Seed coordinate for key Islamabad stop.
police flats,Police Flats,33.6811,73.0244,verified,Seed coordinate for key Islamabad stop.
police foundation,Police Foundation,33.5835,73.1445,verified,Seed coordinate for key Islamabad stop.
police foundation metro station,Police Foundation Metro Station,33.6457,72.9662,verified,Seed coordinate for key Islamabad stop.
prem nagar faqeeran,Prem Nagar Faqeeran,33.6495,73.0785,verified,Seed coordinate for key Islamabad stop.
pully stop,Pully Stop,33.6418,73.0375,verified,Seed coordinate for key Islamabad stop.
punjab college,Punjab College,33.6545,73.1365,verified,Seed coordinate for key Islamabad stop.
quaid azam university,Quaid Azam University,33.7485,73.139,verified,Seed coordinate for key Islamabad stop.
qutbal,Qutbal,33.5855,72.6935,verified,Seed coordinate for key Islamabad stop.
riphah international university,RIPHAH International University,33.6505,73.1255,verified,Seed coordinate for key Islamabad stop.
radio pakistan,Radio Pakistan,33.7295,73.0915,verified,Seed coordinate for key Islamabad stop.
rafiullah shaheed chowk,Rafiullah Shaheed Chowk,33.6025,73.1115,verified,Seed coordinate for key Islamabad stop.
rawal dam chowk,Rawal Dam Chowk,33.7085,73.0985,verified,Seed coordinate for key Islamabad stop.
rawal dam colony,Rawal Dam Colony,33.6965,73.1145,verified,Seed coordinate for key Islamabad stop.
rawal town,Rawal Town,33.6815,73.1165,verified,Seed coordinate for key Islamabad stop.
rescue 15,Rescue 15,33.7055,73.0615,verified,Seed coordinate for key Islamabad stop.
river gardens,River Gardens,33.5583,73.1622,verified,Seed coordinate for key Islamabad stop.
suparco,SUPARCO,33.7425,73.1345,verified,Seed coordinate for key Islamabad stop.
sabri gali,Sabri Gali,33.6415,73.0845,verified,Seed coordinate for key Islamabad stop.
sabzi mandi,Sabzi Mandi,33.6455,73.0336,verified,Seed coordinate for key Islamabad stop.
salai centre,Salai Centre,33.7125,73.0885,verified,Seed coordinate for key Islamabad stop.
sangjani,Sangjani,33.669,72.839,verified,Seed coordinate for key Islamabad stop.
satra meel,Satra Meel,33.7855,73.2535,verified,Seed coordinate for key Islamabad stop.
school board stop,School Board Stop,33.6555,73.0535,verified,Seed coordinate for key Islamabad stop.
secretariate police station,Secretariate Police Station,33.7385,73.1045,verified,Seed coordinate for key Islamabad stop.
shah allah ditta,Shah Allah Ditta,33.7255,72.915,verified,Seed coordinate for key Islamabad stop.
shah wali colony road,Shah Wali Colony Road,33.7555,72.8245,verified,Seed coordinate for key Islamabad stop.
shahdara,Shahdara,33.7715,73.1255,verified,Seed coordinate for key Islamabad stop.
shaheen chowk,Shaheen Chowk,33.7126,73.0185,verified,Seed coordinate for key Islamabad stop.
shahzad town,Shahzad Town,33.6735,73.1615,verified,Seed coordinate for key Islamabad stop.
shakarparian park,Shakarparian Park,33.6915,73.0815,verified,Seed coordinate for key Islamabad stop.
sitara market,Sitara Market,33.7055,73.0685,verified,Seed coordinate for key Islamabad stop.
soan gardens e block,Soan Gardens E Block,33.5612,73.1655,verified,Seed coordinate for key Islamabad stop.
soan gardens g block,Soan Gardens G Block,33.5645,73.163,verified,Seed coordinate for key Islamabad stop.
soan gardens h block,Soan Gardens H Block,33.567,73.1585,verified,Seed coordinate for key Islamabad stop.
social security hospital,Social Security Hospital,33.6212,73.0035,verified,Seed coordinate for key Islamabad stop.
sohan,Sohan,33.648,73.109,verified,Seed coordinate for key Islamabad stop.
sui gas stop,Sui Gas Stop,33.6545,73.056,verified,Seed coordinate for key Islamabad stop.
sukh chayn park,Sukh Chayn Park,33.7122,73.0425,verified,Seed coordinate for key Islamabad stop.
sumbal road,Sumbal Road,33.6907,73.0057,verified,Seed coordinate for key Islamabad stop.
sunday bazar,Sunday Bazar,33.6785,73.0295,verified,Seed coordinate for key Islamabad stop.
swedish college,Swedish College,33.7715,72.7245,verified,Seed coordinate for key Islamabad stop.
t chowk,T- Chowk,33.497,73.238,verified,Seed coordinate for key Islamabad stop.
tnt,TNT,33.6955,73.052,verified,Seed coordinate for key Islamabad stop.
tamma stop,Tamma Stop,33.6515,73.1612,verified,Seed coordinate for key Islamabad stop.
tanki stop,Tanki Stop,33.6745,73.0078,verified,Seed coordinate for key Islamabad stop.
taqwa market,Taqwa Market,33.6485,73.042,verified,Seed coordinate for key Islamabad stop.
taxila,Taxila,33.7465,72.8115,verified,Seed coordinate for key Islamabad stop.
taxila bypass,Taxila Bypass,33.7125,72.8145,verified,Seed coordinate for key Islamabad stop.
taxila chowk,Taxila Chowk,33.7435,72.812,verified,Seed coordinate for key Islamabad stop.
the avanue 03,The Avanue 03,33.6735,72.9345,verified,Seed coordinate for key Islamabad stop.
timber market,Timber Market,33.6425,73.0475,verified,Seed coordinate for key Islamabad stop.
tipu market g 8,Tipu Market G-8,33.6965,73.0485,verified,Seed coordinate for key Islamabad stop.
tipu sultan shaheed chowk,Tipu Sultan Shaheed Chowk,33.6335,73.0715,verified,Seed coordinate for key Islamabad stop.
top city,Top City,33.556,72.848,verified,Seed coordinate for key Islamabad stop.
traders colony,Traders Colony,33.6565,73.0785,verified,Seed coordinate for key Islamabad stop.
university of wah,University of Wah,33.7785,72.7215,verified,Seed coordinate for key Islamabad stop.
wapda colony,WAPDA Colony,33.6685,73.0645,verified,Seed coordinate for key Islamabad stop.
wah cantt barrier 03,Wah Cantt Barrier 03,33.7735,72.721,verified,Seed coordinate for key Islamabad stop.
wah cantt barrier no 2,Wah Cantt Barrier No 2,33.7845,72.7315,verified,Seed coordinate for key Islamabad stop.
wah gardens,Wah Gardens,33.8115,72.7015,verified,Seed coordinate for key Islamabad stop.
wah model town phase 01,Wah Model Town Phase 01,33.7545,72.7145,verified,Seed coordinate for key Islamabad stop.
wah model town phase 02,Wah Model Town Phase 02,33.7435,72.6985,verified,Seed coordinate for key Islamabad stop.
wahdat colony,Wahdat Colony,33.7655,72.7985,verified,Seed coordinate for key Islamabad stop.
westridge,Westridge,33.6085,73.0285,verified,Seed coordinate for key Islamabad stop.
youth hostel,Youth Hostel,33.7225,73.0855,verified,Seed coordinate for key Islamabad stop.
zero point,Zero Point,33.693,73.065,verified,Seed coordinate for key Islamabad stop.
zia masjid,Zia Masjid,33.6402,73.1189,verified,Seed coordinate for key Islamabad stop.
