stop_name_normalized,stop_name,latitude,longitude,coordinate_quality,coordinate_note
sui gas stop,Sui Gas Stop,33.6545,73.0560,verified,User-provided precise coordinate batch.
sukh chayn park,Sukh Chayn Park,33.7122,73.0425,verified,User-provided precise coordinate batch.
sumbal road,Sumbal Road,33.6907,73.0057,verified,User-provided precise coordinate batch.
sunday bazar,Sunday Bazar,33.6785,73.0295,verified,User-provided precise coordinate batch.
swedish college,Swedish College,33.7715,72.7245,verified,User-provided precise coordinate batch.
tnt,TNT,33.6955,73.0520,verified,User-provided precise coordinate batch.
tamma stop,Tamma Stop,33.6515,73.1612,verified,User-provided precise coordinate batch.
taqwa market,Taqwa Market,33.6485,73.0420,verified,User-provided precise coordinate batch.
taxila,Taxila,33.7465,72.8115,verified,User-provided precise coordinate batch.
taxila bypass,Taxila Bypass,33.7125,72.8145,verified,User-provided precise coordinate batch.
the avanue 03,The Avanue 03,33.6735,72.9345,verified,User-provided precise coordinate batch.
timber market,Timber Market,33.6425,73.0475,verified,User-provided precise coordinate batch.
tipu market g 8,Tipu Market G-8,33.6965,73.0485,verified,User-provided precise coordinate batch.
tipu sultan shaheed chowk,Tipu Sultan Shaheed Chowk,33.6335,73.0715,verified,User-provided precise coordinate batch.
traders colony,Traders Colony,33.6565,73.0785,verified,User-provided precise coordinate batch.
university of wah,University of Wah,33.7785,72.7215,verified,User-provided precise coordinate batch.
wapda colony,WAPDA Colony,33.6685,73.0645,verified,User-provided precise coordinate batch.
wah cantt barrier no 2,Wah Cantt Barrier No 2,33.7845,72.7315,verified,User-provided precise coordinate batch.
wah gardens,Wah Gardens,33.8115,72.7015,verified,User-provided precise coordinate batch.
wah model town phase 01,Wah Model Town Phase 01,33.7545,72.7145,verified,User-provided precise coordinate batch.
wah model town phase 02,Wah Model Town Phase 02,33.7435,72.6985,verified,User-provided precise coordinate batch.
wahdat colony,Wahdat Colony,33.7655,72.7985,verified,User-provided precise coordinate batch.
westridge,Westridge,33.6085,73.0285,verified,User-provided precise coordinate batch.
youth hostel,Youth Hostel,33.7225,73.0855,verified,User-provided precise coordinate batch.
